Date,DrawNo,Time,Mark,Line,Suit
17/08/1994,78,Evening,36,9,6 suit
18/08/1994,79,Midday,36,9,6 suit
18/08/1994,80,Evening,13,4,3 suit
19/08/1994,81,Midday,19,1,9 suit
19/08/1994,82,Evening,23,5,3 suit
20/08/1994,83,Midday,20,2,0s
20/08/1994,84,Evening,1,1,1 suit
22/08/1994,85,Midday,9,9,9 suit
22/08/1994,86,Evening,30,3,0s
23/08/1994,87,Midday,18,9,8 suit
23/08/1994,88,Evening,19,1,9 suit
24/08/1994,89,Midday,26,8,6 suit
24/08/1994,90,Evening,34,7,4 suit
25/08/1994,91,Midday,1,1,1 suit
25/08/1994,92,Evening,3,3,3 suit
26/08/1994,93,Midday,21,3,1 suit
26/08/1994,94,Evening,10,1,0s
27/08/1994,95,Midday,11,2,1 suit
27/08/1994,96,Evening,30,3,0s
29/08/1994,97,Midday,11,2,1 suit
29/08/1994,98,Evening,36,9,6 suit
30/08/1994,99,Midday,33,6,3 suit
30/08/1994,100,Evening,33,6,3 suit
31/08/1994,101,Midday,20,2,0s
31/08/1994,102,Evening,14,5,4 suit
01/10/1994,155,Midday,17,8,7 suit
01/10/1994,156,Evening,28,1,8 suit
03/10/1994,157,Midday,34,7,4 suit
03/10/1994,158,Evening,36,9,6 suit
04/10/1994,159,Midday,8,8,8 suit
04/10/1994,160,Evening,24,6,4 suit
05/10/1994,161,Midday,33,6,3 suit
05/10/1994,162,Evening,18,9,8 suit
06/10/1994,163,Midday,3,3,3 suit
06/10/1994,164,Evening,36,9,6 suit
07/10/1994,165,Midday,36,9,6 suit
07/10/1994,166,Evening,17,8,7 suit
08/10/1994,167,Midday,15,6,5 suit
08/10/1994,168,Evening,30,3,0s
10/10/1994,169,Midday,34,7,4 suit
10/10/1994,170,Evening,18,9,8 suit
11/10/1994,171,Midday,21,3,1 suit
11/10/1994,172,Evening,27,9,7 suit
12/10/1994,173,Midday,17,8,7 suit
12/10/1994,174,Evening,3,3,3 suit
13/10/1994,175,Midday,17,8,7 suit
13/10/1994,176,Evening,3,3,3 suit
14/10/1994,177,Midday,32,5,2 suit
14/10/1994,178,Evening,17,8,7 suit
15/10/1994,179,Midday,32,5,2 suit
15/10/1994,180,Evening,1,1,1 suit
17/10/1994,181,Midday,3,3,3 suit
17/10/1994,182,Evening,27,9,7 suit
18/10/1994,183,Midday,29,2,9 suit
18/10/1994,184,Evening,30,3,0s
19/10/1994,185,Midday,32,5,2 suit
19/10/1994,186,Evening,10,1,0s
20/10/1994,187,Midday,35,8,5 suit
20/10/1994,188,Evening,22,4,2 suit
21/10/1994,189,Midday,25,7,5 suit
21/10/1994,190,Evening,27,9,7 suit
22/10/1994,191,Midday,20,2,0s
22/10/1994,192,Evening,20,2,0s
24/10/1994,193,Midday,10,1,0s
24/10/1994,194,Evening,17,8,7 suit
25/10/1994,195,Midday,7,7,7 suit
25/10/1994,196,Evening,11,2,1 suit
26/10/1994,197,Midday,11,2,1 suit
26/10/1994,198,Evening,22,4,2 suit
27/10/1994,199,Midday,17,8,7 suit
27/10/1994,200,Evening,2,2,2 suit
28/10/1994,201,Midday,30,3,0s
28/10/1994,202,Evening,14,5,4 suit
29/10/1994,203,Midday,17,8,7 suit
29/10/1994,204,Evening,31,4,1 suit
31/10/1994,205,Midday,34,7,4 suit
31/10/1994,206,Evening,21,3,1 suit
01/11/1994,207,Midday,22,4,2 suit
01/11/1994,208,Evening,3,3,3 suit
02/11/1994,209,Midday,6,6,6 suit
02/11/1994,210,Evening,12,3,2 suit
04/11/1994,211,Midday,21,3,1 suit
04/11/1994,212,Evening,17,8,7 suit
05/11/1994,213,Midday,36,9,6 suit
05/11/1994,214,Evening,26,8,6 suit
07/11/1994,215,Midday,31,4,1 suit
07/11/1994,216,Evening,33,6,3 suit
08/11/1994,217,Midday,30,3,0s
08/11/1994,218,Evening,5,5,5 suit
09/11/1994,219,Midday,32,5,2 suit
09/11/1994,220,Evening,22,4,2 suit
10/11/1994,221,Midday,32,5,2 suit
10/11/1994,222,Evening,15,6,5 suit
11/11/1994,223,Midday,6,6,6 suit
11/11/1994,224,Evening,10,1,0s
12/11/1994,225,Midday,22,4,2 suit
12/11/1994,226,Evening,26,8,6 suit
14/11/1994,227,Midday,2,2,2 suit
14/11/1994,228,Evening,21,3,1 suit
15/11/1994,229,Midday,17,8,7 suit
15/11/1994,230,Evening,27,9,7 suit
16/11/1994,231,Midday,29,2,9 suit
16/11/1994,232,Evening,9,9,9 suit
17/11/1994,233,Midday,1,1,1 suit
17/11/1994,234,Evening,34,7,4 suit
18/11/1994,235,Midday,4,4,4 suit
18/11/1994,236,Evening,4,4,4 suit
19/11/1994,237,Midday,34,7,4 suit
19/11/1994,238,Evening,26,8,6 suit
21/11/1994,239,Midday,18,9,8 suit
21/11/1994,240,Evening,28,1,8 suit
22/11/1994,241,Midday,6,6,6 suit
22/11/1994,242,Evening,26,8,6 suit
23/11/1994,243,Midday,29,2,9 suit
23/11/1994,244,Evening,33,6,3 suit
24/11/1994,245,Midday,20,2,0s
24/11/1994,246,Evening,31,4,1 suit
25/11/1994,247,Midday,8,8,8 suit
25/11/1994,248,Evening,12,3,2 suit
26/11/1994,249,Midday,7,7,7 suit
26/11/1994,250,Evening,33,6,3 suit
28/11/1994,251,Midday,32,5,2 suit
28/11/1994,252,Evening,11,2,1 suit
29/11/1994,253,Midday,11,2,1 suit
29/11/1994,254,Evening,21,3,1 suit
30/11/1994,255,Midday,18,9,8 suit
30/11/1994,256,Evening,28,1,8 suit
01/12/1994,257,Midday,15,6,5 suit
01/12/1994,258,Evening,28,1,8 suit
02/12/1994,259,Midday,12,3,2 suit
02/12/1994,260,Evening,21,3,1 suit
03/12/1994,261,Midday,25,7,5 suit
03/12/1994,262,Evening,14,5,4 suit
05/12/1994,263,Midday,12,3,2 suit
05/12/1994,264,Evening,10,1,0s
06/12/1994,265,Midday,12,3,2 suit
06/12/1994,266,Evening,26,8,6 suit
07/12/1994,267,Midday,17,8,7 suit
07/12/1994,268,Evening,12,3,2 suit
08/12/1994,269,Midday,14,5,4 suit
08/12/1994,270,Evening,1,1,1 suit
09/12/1994,271,Midday,18,9,8 suit
09/12/1994,272,Evening,4,4,4 suit
10/12/1994,273,Midday,35,8,5 suit
10/12/1994,274,Evening,4,4,4 suit
12/12/1994,275,Midday,2,2,2 suit
12/12/1994,276,Evening,31,4,1 suit
13/12/1994,277,Midday,26,8,6 suit
13/12/1994,278,Evening,36,9,6 suit
14/12/1994,279,Midday,23,5,3 suit
14/12/1994,280,Evening,1,1,1 suit
15/12/1994,281,Midday,26,8,6 suit
15/12/1994,282,Evening,9,9,9 suit
16/12/1994,283,Midday,17,8,7 suit
16/12/1994,284,Evening,24,6,4 suit
17/12/1994,285,Midday,8,8,8 suit
17/12/1994,286,Evening,18,9,8 suit
19/12/1994,287,Midday,4,4,4 suit
19/12/1994,288,Evening,12,3,2 suit
20/12/1994,289,Midday,34,7,4 suit
20/12/1994,290,Evening,3,3,3 suit
21/12/1994,291,Midday,32,5,2 suit
21/12/1994,292,Evening,26,8,6 suit
22/12/1994,293,Midday,16,7,6 suit
22/12/1994,294,Evening,31,4,1 suit
23/12/1994,295,Midday,21,3,1 suit
23/12/1994,296,Evening,2,2,2 suit
24/12/1994,297,Midday,36,9,6 suit
24/12/1994,298,Evening,2,2,2 suit
26/12/1994,299,Midday,20,2,0s
26/12/1994,300,Evening,1,1,1 suit
27/12/1994,301,Midday,16,7,6 suit
27/12/1994,302,Evening,10,1,0s
28/12/1994,303,Midday,13,4,3 suit
28/12/1994,304,Evening,10,1,0s
29/12/1994,305,Midday,24,6,4 suit
29/12/1994,306,Evening,2,2,2 suit
30/12/1994,307,Midday,7,7,7 suit
30/12/1994,308,Evening,22,4,2 suit
31/12/1994,309,Midday,5,5,5 suit
31/12/1994,310,Evening,26,8,6 suit
02/01/1995,311,Midday,7,7,7 suit
02/01/1995,312,Evening,8,8,8 suit
03/01/1995,313,Midday,11,2,1 suit
03/01/1995,314,Evening,16,7,6 suit
04/01/1995,315,Midday,29,2,9 suit
04/01/1995,316,Evening,8,8,8 suit
05/01/1995,317,Midday,36,9,6 suit
05/01/1995,318,Evening,27,9,7 suit
06/01/1995,319,Midday,4,4,4 suit
06/01/1995,320,Evening,25,7,5 suit
07/01/1995,321,Midday,31,4,1 suit
07/01/1995,322,Evening,31,4,1 suit
09/01/1995,323,Midday,33,6,3 suit
09/01/1995,324,Evening,16,7,6 suit
10/01/1995,325,Midday,28,1,8 suit
10/01/1995,326,Evening,17,8,7 suit
11/01/1995,327,Midday,31,4,1 suit
11/01/1995,328,Evening,20,2,0s
12/01/1995,329,Midday,32,5,2 suit
12/01/1995,330,Evening,15,6,5 suit
13/01/1995,331,Midday,9,9,9 suit
13/01/1995,332,Evening,6,6,6 suit
14/01/1995,333,Midday,30,3,0s
14/01/1995,334,Evening,24,6,4 suit
16/01/1995,335,Midday,21,3,1 suit
16/01/1995,336,Evening,35,8,5 suit
17/01/1995,337,Midday,30,3,0s
17/01/1995,338,Evening,31,4,1 suit
18/01/1995,339,Midday,33,6,3 suit
18/01/1995,340,Evening,10,1,0s
19/01/1995,341,Midday,28,1,8 suit
19/01/1995,342,Evening,5,5,5 suit
20/01/1995,343,Midday,23,5,3 suit
20/01/1995,344,Evening,30,3,0s
21/01/1995,345,Midday,25,7,5 suit
21/01/1995,346,Evening,13,4,3 suit
23/01/1995,347,Midday,32,5,2 suit
23/01/1995,348,Evening,6,6,6 suit
24/01/1995,349,Midday,33,6,3 suit
24/01/1995,350,Evening,20,2,0s
25/01/1995,351,Midday,27,9,7 suit
25/01/1995,352,Evening,18,9,8 suit
26/01/1995,353,Midday,17,8,7 suit
26/01/1995,354,Evening,19,1,9 suit
27/01/1995,355,Midday,16,7,6 suit
27/01/1995,356,Evening,30,3,0s
28/01/1995,357,Midday,23,5,3 suit
28/01/1995,358,Evening,27,9,7 suit
30/01/1995,359,Midday,12,3,2 suit
30/01/1995,360,Evening,35,8,5 suit
31/01/1995,361,Midday,21,3,1 suit
31/01/1995,362,Evening,12,3,2 suit
01/02/1995,363,Midday,2,2,2 suit
01/02/1995,364,Evening,7,7,7 suit
02/02/1995,365,Midday,29,2,9 suit
02/02/1995,366,Evening,6,6,6 suit
03/02/1995,367,Midday,34,7,4 suit
03/02/1995,368,Evening,8,8,8 suit
04/02/1995,369,Midday,14,5,4 suit
04/02/1995,370,Evening,3,3,3 suit
06/02/1995,371,Midday,20,2,0s
06/02/1995,372,Evening,9,9,9 suit
07/02/1995,373,Midday,4,4,4 suit
07/02/1995,374,Evening,2,2,2 suit
08/02/1995,375,Midday,19,1,9 suit
08/02/1995,376,Evening,4,4,4 suit
09/02/1995,377,Midday,7,7,7 suit
09/02/1995,378,Evening,5,5,5 suit
10/02/1995,379,Midday,14,5,4 suit
10/02/1995,380,Evening,35,8,5 suit
11/02/1995,381,Midday,19,1,9 suit
11/02/1995,382,Evening,35,8,5 suit
13/02/1995,383,Midday,21,3,1 suit
13/02/1995,384,Evening,12,3,2 suit
14/02/1995,385,Midday,26,8,6 suit
14/02/1995,386,Evening,26,8,6 suit
15/02/1995,387,Midday,34,7,4 suit
15/02/1995,388,Evening,9,9,9 suit
16/02/1995,389,Midday,1,1,1 suit
16/02/1995,390,Evening,31,4,1 suit
17/02/1995,391,Midday,36,9,6 suit
17/02/1995,392,Evening,18,9,8 suit
18/02/1995,393,Midday,31,4,1 suit
18/02/1995,394,Evening,4,4,4 suit
20/02/1995,395,Midday,12,3,2 suit
20/02/1995,396,Evening,20,2,0s
21/02/1995,397,Midday,26,8,6 suit
21/02/1995,398,Evening,3,3,3 suit
22/02/1995,399,Midday,31,4,1 suit
22/02/1995,400,Evening,17,8,7 suit
23/02/1995,401,Midday,5,5,5 suit
23/02/1995,402,Evening,12,3,2 suit
24/02/1995,403,Midday,5,5,5 suit
24/02/1995,404,Evening,32,5,2 suit
25/02/1995,405,Midday,7,7,7 suit
25/02/1995,406,Evening,34,7,4 suit
27/02/1995,407,Midday,29,2,9 suit
27/02/1995,408,Evening,21,3,1 suit
28/02/1995,409,Midday,12,3,2 suit
28/02/1995,410,Evening,25,7,5 suit
01/03/1995,411,Midday,2,2,2 suit
01/03/1995,412,Evening,14,5,4 suit
02/03/1995,413,Midday,5,5,5 suit
02/03/1995,414,Evening,29,2,9 suit
04/03/1995,415,Midday,25,7,5 suit
04/03/1995,416,Evening,35,8,5 suit
06/03/1995,417,Midday,20,2,0s
06/03/1995,418,Evening,27,9,7 suit
07/03/1995,419,Midday,5,5,5 suit
07/03/1995,420,Evening,17,8,7 suit
08/03/1995,421,Midday,1,1,1 suit
08/03/1995,422,Evening,20,2,0s
09/03/1995,423,Midday,5,5,5 suit
09/03/1995,424,Evening,31,4,1 suit
10/03/1995,425,Midday,33,6,3 suit
10/03/1995,426,Evening,13,4,3 suit
11/03/1995,427,Midday,33,6,3 suit
11/03/1995,428,Evening,5,5,5 suit
13/03/1995,429,Midday,22,4,2 suit
13/03/1995,430,Evening,1,1,1 suit
14/03/1995,431,Midday,29,2,9 suit
14/03/1995,432,Evening,7,7,7 suit
15/03/1995,433,Midday,10,1,0s
15/03/1995,434,Evening,14,5,4 suit
16/03/1995,435,Midday,29,2,9 suit
16/03/1995,436,Evening,20,2,0s
17/03/1995,437,Midday,20,2,0s
17/03/1995,438,Evening,1,1,1 suit
18/03/1995,439,Midday,20,2,0s
18/03/1995,440,Evening,31,4,1 suit
20/03/1995,441,Midday,34,7,4 suit
20/03/1995,442,Evening,32,5,2 suit
21/03/1995,443,Midday,10,1,0s
21/03/1995,444,Evening,31,4,1 suit
22/03/1995,445,Midday,8,8,8 suit
22/03/1995,446,Evening,7,7,7 suit
23/03/1995,447,Midday,32,5,2 suit
23/03/1995,448,Evening,27,9,7 suit
24/03/1995,449,Midday,9,9,9 suit
24/03/1995,450,Evening,26,8,6 suit
25/03/1995,451,Midday,20,2,0s
25/03/1995,452,Evening,29,2,9 suit
27/03/1995,453,Midday,3,3,3 suit
27/03/1995,454,Evening,20,2,0s
28/03/1995,455,Midday,23,5,3 suit
28/03/1995,456,Evening,18,9,8 suit
29/03/1995,457,Midday,25,7,5 suit
29/03/1995,458,Evening,17,8,7 suit
30/03/1995,459,Midday,4,4,4 suit
30/03/1995,460,Evening,4,4,4 suit
31/03/1995,461,Midday,31,4,1 suit
31/03/1995,462,Evening,15,6,5 suit
01/04/1995,463,Midday,11,2,1 suit
01/04/1995,464,Evening,15,6,5 suit
03/04/1995,465,Midday,29,2,9 suit
03/04/1995,466,Evening,12,3,2 suit
04/04/1995,467,Midday,29,2,9 suit
04/04/1995,468,Evening,24,6,4 suit
05/04/1995,469,Midday,9,9,9 suit
05/04/1995,470,Evening,9,9,9 suit
06/04/1995,471,Midday,30,3,0s
06/04/1995,472,Evening,29,2,9 suit
07/04/1995,473,Midday,15,6,5 suit
07/04/1995,474,Evening,33,6,3 suit
08/04/1995,475,Midday,9,9,9 suit
08/04/1995,476,Evening,4,4,4 suit
10/04/1995,477,Midday,26,8,6 suit
10/04/1995,478,Evening,25,7,5 suit
11/04/1995,479,Midday,2,2,2 suit
11/04/1995,480,Evening,19,1,9 suit
12/04/1995,481,Midday,27,9,7 suit
12/04/1995,482,Evening,14,5,4 suit
13/04/1995,483,Midday,10,1,0s
13/04/1995,484,Evening,28,1,8 suit
15/04/1995,485,Midday,35,8,5 suit
15/04/1995,486,Evening,14,5,4 suit
17/04/1995,487,Midday,25,7,5 suit
17/04/1995,488,Evening,13,4,3 suit
18/04/1995,489,Midday,20,2,0s
18/04/1995,490,Evening,19,1,9 suit
19/04/1995,491,Midday,34,7,4 suit
19/04/1995,492,Evening,3,3,3 suit
20/04/1995,493,Midday,10,1,0s
20/04/1995,494,Evening,17,8,7 suit
21/04/1995,495,Midday,14,5,4 suit
21/04/1995,496,Evening,12,3,2 suit
22/04/1995,497,Midday,30,3,0s
22/04/1995,498,Evening,20,2,0s
24/04/1995,499,Midday,17,8,7 suit
24/04/1995,500,Evening,27,9,7 suit
25/04/1995,501,Midday,26,8,6 suit
25/04/1995,502,Evening,4,4,4 suit
26/04/1995,503,Midday,27,9,7 suit
26/04/1995,504,Evening,11,2,1 suit
27/04/1995,505,Midday,26,8,6 suit
27/04/1995,506,Evening,1,1,1 suit
28/04/1995,507,Midday,26,8,6 suit
28/04/1995,508,Evening,34,7,4 suit
29/04/1995,509,Midday,8,8,8 suit
29/04/1995,510,Evening,12,3,2 suit
01/05/1995,511,Midday,1,1,1 suit
01/05/1995,512,Evening,34,7,4 suit
02/05/1995,513,Midday,26,8,6 suit
02/05/1995,514,Evening,1,1,1 suit
03/05/1995,515,Midday,23,5,3 suit
03/05/1995,516,Evening,2,2,2 suit
04/05/1995,517,Midday,6,6,6 suit
04/05/1995,518,Evening,20,2,0s
05/05/1995,519,Midday,24,6,4 suit
05/05/1995,520,Evening,5,5,5 suit
06/05/1995,521,Midday,27,9,7 suit
06/05/1995,522,Evening,29,2,9 suit
08/05/1995,523,Midday,32,5,2 suit
08/05/1995,524,Evening,34,7,4 suit
09/05/1995,525,Midday,2,2,2 suit
09/05/1995,526,Evening,4,4,4 suit
10/05/1995,527,Midday,10,1,0s
10/05/1995,528,Evening,14,5,4 suit
11/05/1995,529,Midday,17,8,7 suit
11/05/1995,530,Evening,27,9,7 suit
12/05/1995,531,Midday,14,5,4 suit
12/05/1995,532,Evening,14,5,4 suit
13/05/1995,533,Midday,19,1,9 suit
13/05/1995,534,Evening,23,5,3 suit
15/05/1995,535,Midday,11,2,1 suit
15/05/1995,536,Evening,4,4,4 suit
16/05/1995,537,Midday,5,5,5 suit
16/05/1995,538,Evening,22,4,2 suit
17/05/1995,539,Midday,12,3,2 suit
17/05/1995,540,Evening,35,8,5 suit
18/05/1995,541,Midday,12,3,2 suit
18/05/1995,542,Evening,21,3,1 suit
19/05/1995,543,Midday,33,6,3 suit
19/05/1995,544,Evening,17,8,7 suit
20/05/1995,545,Midday,21,3,1 suit
20/05/1995,546,Evening,1,1,1 suit
22/05/1995,547,Midday,31,4,1 suit
22/05/1995,548,Evening,36,9,6 suit
23/05/1995,549,Midday,11,2,1 suit
23/05/1995,550,Evening,12,3,2 suit
24/05/1995,551,Midday,3,3,3 suit
24/05/1995,552,Evening,13,4,3 suit
25/05/1995,553,Midday,23,5,3 suit
25/05/1995,554,Evening,35,8,5 suit
26/05/1995,555,Midday,18,9,8 suit
26/05/1995,556,Evening,14,5,4 suit
27/05/1995,557,Midday,1,1,1 suit
27/05/1995,558,Evening,29,2,9 suit
29/05/1995,559,Midday,21,3,1 suit
29/05/1995,560,Evening,21,3,1 suit
30/05/1995,561,Midday,19,1,9 suit
30/05/1995,562,Evening,16,7,6 suit
31/05/1995,563,Midday,8,8,8 suit
31/05/1995,564,Evening,25,7,5 suit
01/06/1995,565,Midday,6,6,6 suit
01/06/1995,566,Evening,30,3,0s
02/06/1995,567,Midday,3,3,3 suit
02/06/1995,568,Evening,26,8,6 suit
03/06/1995,569,Midday,4,4,4 suit
03/06/1995,570,Evening,15,6,5 suit
05/06/1995,571,Midday,11,2,1 suit
05/06/1995,572,Evening,5,5,5 suit
06/06/1995,573,Midday,25,7,5 suit
06/06/1995,574,Evening,29,2,9 suit
07/06/1995,575,Midday,24,6,4 suit
07/06/1995,576,Evening,1,1,1 suit
08/06/1995,577,Midday,11,2,1 suit
08/06/1995,578,Evening,1,1,1 suit
09/06/1995,579,Midday,8,8,8 suit
09/06/1995,580,Evening,29,2,9 suit
10/06/1995,581,Midday,13,4,3 suit
10/06/1995,582,Evening,28,1,8 suit
12/06/1995,583,Midday,21,3,1 suit
12/06/1995,584,Evening,27,9,7 suit
13/06/1995,585,Midday,6,6,6 suit
13/06/1995,586,Evening,9,9,9 suit
14/06/1995,587,Midday,26,8,6 suit
14/06/1995,588,Evening,24,6,4 suit
16/06/1995,589,Midday,18,9,8 suit
16/06/1995,590,Evening,14,5,4 suit
17/06/1995,591,Midday,11,2,1 suit
17/06/1995,592,Evening,25,7,5 suit
19/06/1995,593,Midday,34,7,4 suit
19/06/1995,594,Evening,27,9,7 suit
20/06/1995,595,Midday,9,9,9 suit
20/06/1995,596,Evening,28,1,8 suit
21/06/1995,597,Midday,23,5,3 suit
21/06/1995,598,Evening,24,6,4 suit
22/06/1995,599,Midday,18,9,8 suit
22/06/1995,600,Evening,32,5,2 suit
23/06/1995,601,Midday,4,4,4 suit
23/06/1995,602,Evening,31,4,1 suit
24/06/1995,603,Midday,14,5,4 suit
24/06/1995,604,Evening,32,5,2 suit
26/06/1995,605,Midday,17,8,7 suit
26/06/1995,606,Evening,17,8,7 suit
27/06/1995,607,Midday,14,5,4 suit
27/06/1995,608,Evening,7,7,7 suit
28/06/1995,609,Midday,24,6,4 suit
28/06/1995,610,Evening,6,6,6 suit
29/06/1995,611,Midday,34,7,4 suit
29/06/1995,612,Evening,9,9,9 suit
30/06/1995,613,Midday,27,9,7 suit
30/06/1995,614,Evening,36,9,6 suit
01/07/1995,615,Midday,11,2,1 suit
01/07/1995,616,Evening,14,5,4 suit
03/07/1995,617,Midday,24,6,4 suit
03/07/1995,618,Evening,1,1,1 suit
04/07/1995,619,Midday,15,6,5 suit
04/07/1995,620,Evening,17,8,7 suit
05/07/1995,621,Midday,14,5,4 suit
05/07/1995,622,Evening,5,5,5 suit
06/07/1995,623,Midday,19,1,9 suit
06/07/1995,624,Evening,8,8,8 suit
07/07/1995,625,Midday,25,7,5 suit
07/07/1995,626,Evening,1,1,1 suit
08/07/1995,627,Midday,25,7,5 suit
08/07/1995,628,Evening,18,9,8 suit
10/07/1995,629,Midday,9,9,9 suit
10/07/1995,630,Evening,6,6,6 suit
11/07/1995,631,Midday,2,2,2 suit
11/07/1995,632,Evening,19,1,9 suit
12/07/1995,633,Midday,34,7,4 suit
12/07/1995,634,Evening,24,6,4 suit
13/07/1995,635,Midday,10,1,0s
13/07/1995,636,Evening,22,4,2 suit
14/07/1995,637,Midday,14,5,4 suit
14/07/1995,638,Evening,4,4,4 suit
15/07/1995,639,Midday,19,1,9 suit
15/07/1995,640,Evening,34,7,4 suit
17/07/1995,641,Midday,32,5,2 suit
17/07/1995,642,Evening,16,7,6 suit
18/07/1995,643,Midday,33,6,3 suit
18/07/1995,644,Evening,4,4,4 suit
19/07/1995,645,Midday,15,6,5 suit
19/07/1995,646,Evening,1,1,1 suit
20/07/1995,647,Midday,35,8,5 suit
20/07/1995,648,Evening,32,5,2 suit
21/07/1995,649,Midday,16,7,6 suit
21/07/1995,650,Evening,13,4,3 suit
22/07/1995,651,Midday,22,4,2 suit
22/07/1995,652,Evening,4,4,4 suit
24/07/1995,653,Midday,25,7,5 suit
24/07/1995,654,Evening,11,2,1 suit
25/07/1995,655,Midday,8,8,8 suit
25/07/1995,656,Evening,27,9,7 suit
26/07/1995,657,Midday,2,2,2 suit
26/07/1995,658,Evening,22,4,2 suit
27/07/1995,659,Midday,6,6,6 suit
27/07/1995,660,Evening,26,8,6 suit
28/07/1995,661,Midday,5,5,5 suit
28/07/1995,662,Evening,22,4,2 suit
29/07/1995,663,Midday,19,1,9 suit
29/07/1995,664,Evening,19,1,9 suit
31/07/1995,665,Midday,5,5,5 suit
31/07/1995,666,Evening,12,3,2 suit
01/08/1995,667,Midday,33,6,3 suit
01/08/1995,668,Evening,25,7,5 suit
02/08/1995,669,Midday,31,4,1 suit
02/08/1995,670,Evening,13,4,3 suit
03/08/1995,671,Midday,18,9,8 suit
03/08/1995,672,Evening,30,3,0s
04/08/1995,673,Midday,21,3,1 suit
04/08/1995,674,Evening,15,6,5 suit
05/08/1995,675,Midday,14,5,4 suit
05/08/1995,676,Evening,34,7,4 suit
07/08/1995,677,Midday,24,6,4 suit
07/08/1995,678,Evening,8,8,8 suit
08/08/1995,679,Midday,6,6,6 suit
08/08/1995,680,Evening,1,1,1 suit
09/08/1995,681,Midday,10,1,0s
09/08/1995,682,Evening,6,6,6 suit
10/08/1995,683,Midday,4,4,4 suit
10/08/1995,684,Evening,15,6,5 suit
11/08/1995,685,Midday,26,8,6 suit
11/08/1995,686,Evening,17,8,7 suit
12/08/1995,687,Midday,6,6,6 suit
12/08/1995,688,Evening,27,9,7 suit
14/08/1995,689,Midday,3,3,3 suit
14/08/1995,690,Evening,7,7,7 suit
15/08/1995,691,Midday,3,3,3 suit
